#separator:Semicolon
#html:false
#deck column:3
#columns:Front;Back;Deck
transfer bancaire;die Überweisung-en;argent, commerce
intérêt (bancaire);der Zins-en;argent, commerce
transférer (banque);überweisen (ie-ie);argent, commerce
effectuer un retrait d’argent;ab-heben (o-o);argent, commerce
telecommunication;die Telekommunikation-en;communication
poste (courier);die Post-en;communication
c'est-à-dire;das heißt;communication
rapporter, annoncer, signaler, déclarer;melden;communication
lettre (message écrit);der Brief-e;communication
enveloppe (de lettre);der Umschlag-″e;communication
déclarer;an-geben (i-a-e);communication
stylo, crayon;der Stift-e;communication
crayon;der Bleistift-e;communication
gomme (pour effacer);das Gummi-s;communication
admettre, avouer;zu-geben (i-a-e);communication
livrer (collis);liefern;communication
annoncer;an-kündigen;communication
envoyer, expédier;schicken;communication
envoyer, diffuser;senden;communication
téléphone;das Telefon-e;communication
internet;das Internet;communication
connection;die Verbindung-en;communication
téléphone portable;das Handy-s;communication
radio (appareil);der Radio-s;communication
journal;die Zeitung-en;communication
presse (journaux & magasines);die Presse;communication
émission (de tv, radio);die Sendung-en;communication
magazine, revue;die Zeitschrift-en;communication
série (tv);die Serie-n;communication
radio (diffusion);der Rundfunk;communication
page;die Seite-n;communication
feuille (page);das Blatt-″er;communication
ligne (texte);die Zeile-n;communication
texte;der Text-e;communication
phrase;der Satz-″e;communication
lettre (alphabet);der Buchstabe-n;communication
épeler;buchstabieren;communication
symbole, caractère, signe;das Zeichen-;communication
dictionnaire;das Wörterbuch-″er;communication
instruction (ordre);die Anweisung-en;communication
section, paragraphe;der Abschnitt-e;communication
parenthèse, crochet;die Klammer-n;communication
marquer;markieren;communication
noter (faire une note);auf-schreiben (ie-ie);communication
article;der Artikel-;communication
annonce (radio ou haut-parleur);die Durchsage-n;communication
détail;die Einzelheit-en;communication
email;die E-Mail-s;communication
sujet (d'une lettre, d'un email);der Betreff-e;communication
conseil, indication, indice;der Hinweis-e;communication
nouvelle, information;die Nachricht-en;communication
titre, intitulé;die Überschrift-en;communication
imprimer;drucken;communication
imprimante;der Drucker-;communication
expression;der Ausdruck-″e;communication
rester silencieux;schweigen (ie-ie);communication
note, pièce de papier;der Zettel-;communication
appeler (donner un nom);nennen (a-a);communication
parler;sprechen (i-a-o);parler, convaincre
certitude;die Sicherheit-en;parler, convaincre
renoncer;verzichten (auf+A);parler, convaincre
droit à quelquechose, exigeance;der Anspruch-″e (auf+A);parler, convaincre
demander, prier;bitten (a-e);parler, convaincre
souligner (accentuer);betonen;parler, convaincre
convaincre (logiquement);überzeugen;parler, convaincre
convaincre, persuader (en parlant beaucoup);überreden;parler, convaincre
au contraire, plutôt;vielmehr;parler, convaincre
en tout cas;auf jeden Fall;parler, convaincre
de toute façon, de toute manière;ohnehin;parler, convaincre
analogie;die Analogie-n;parler, convaincre
avoir raison;recht haben;parler, convaincre
promettre;versprechen (i-a-o);parler, convaincre
retour (=réponse);die Rückmeldung-en;parler, convaincre
dire;sagen;parler, convaincre
parler, converser;reden;parler, convaincre
influence, impact;der Einfluss-″e;parler, convaincre
avoir une conversation;besprechen (i-a-o);parler, convaincre
discuter;besprechen (i-a-o);parler, convaincre
prononciation;die Aussprache-n;parler, convaincre
signifier;bedeuten;parler, convaincre
exagérer (l'importance);übertreiben (ie-ie);parler, convaincre
signification;die Bedeutung-en;parler, convaincre
clair, considérable;deutlich;parler, convaincre
offre (proposition);das Angebot-e;parler, convaincre
absolu;unbedingt;parler, convaincre
offrir, proposer;an-bieten (o-o);parler, convaincre
d'ailleurs;übrigens;parler, convaincre
motiver;motivieren;parler, convaincre
plaire;gefallen (ä-ie-a);parler, convaincre
mutuel;gegenseitig;parler, convaincre
répondre à (tr.);beantworten;parler, convaincre
discuter, conseiller;beraten (ä-ie-a);parler, convaincre
exhorter, admonester;ermahnen (zu);parler, convaincre
avertir;warnen (+A, vor);parler, convaincre
s’excuser (de);sich entschuldigen (bei);parler, convaincre
plutôt;eher;parler, convaincre
même, voire;sogar;parler, convaincre
option, possibilité;die Möglichkeit-en;parler, convaincre
choisir, opter;aus-wählen, wählen, aus-suchen;parler, convaincre
se décider;sich beschließen (o-o), sich entscheiden;parler, convaincre
décision;die Entscheidung-en;parler, convaincre
option;die Option-en;parler, convaincre
choix;die Wahl-en;parler, convaincre
choisir, sélectionner;wählen;parler, convaincre
proposer;vor-schlagen (ä-u-a);parler, convaincre
proposition;der Vorschlag-″e;parler, convaincre
accepter;zu-stimmen (+D);parler, convaincre
refuser;ab-lehnen;parler, convaincre
contre-proposition;der Gegenvorschlag-″e;parler, convaincre
convenir d'une activité/rdv;sich verabreden;parler, convaincre
se mettre d’accord;sich einigen;parler, convaincre
fixer, convenir;aus-machen;parler, convaincre
d'accord (adj.);einverstanden;parler, convaincre
considérer;überlegen;parler, convaincre
avoir envie;Lust haben (auf+A/zu);parler, convaincre
envie (désir);die Lust-″e;parler, convaincre
plutôt (adv. opposition);lieber;parler, convaincre
convenir (être compatible);passen;parler, convaincre
aller bien, marcher;klappen;parler, convaincre
parfait;perfekt;parler, convaincre
à cause de moi;meinetwegen;parler, convaincre
demander (question);fragen (+A, +A, nach, zu);parler, convaincre
répondre (intr.);antworten;parler, convaincre
réponse;die Antwort-en;parler, convaincre
mentir;lügen (o-o);parler, convaincre
recommander;empfehlen (ie-a-o);parler, convaincre
alléguer, formuler;vor-bringen (ach-ach);parler, convaincre
faire pression;unter Druck setzen;parler, convaincre
exprimer;äußern;parler, convaincre
informer, rapporter;berichten;parler, convaincre
inciter, encourager, inspirer à;an-regen (+A, zu);parler, convaincre
démontrer, prouver;beweisen (ie-ie);parler, convaincre
faire confiance;vertrauen;parler, convaincre
se fier;sich verlassen (auf+A);parler, convaincre
maintenir (que);behaupten;parler, convaincre
confier (secret);an-vertrauen (+A, +D);parler, convaincre
communiquer (informer);mit-teilen;parler, convaincre
contredire;widersprechen (i-a-o);parler, convaincre
nier ce qui a été dit par quelqu'un d'autre;leugnen;parler, convaincre
démentir officiellement;dementieren;parler, convaincre
supposer;an-nehmen (im-ah-om);parler, convaincre
question;die Frage-n;parler, convaincre
se disputer;streiten (it-it);parler, convaincre
se plaindre (auprès de qqun);sich beschweren;parler, convaincre
insister;beharren (auf+D);parler, convaincre
confronter;gegenüber-stellen;parler, convaincre
raconter;erzählen;parler, convaincre
expliquer;erklären;parler, convaincre
répéter;wiederholen;parler, convaincre
traduire;übertragen (ä-u-a);parler, convaincre
traduire;übersetzen;parler, convaincre
service, secteur tertiaire;die Dienstleistung-en;services publics
banque;die Bank-en;services publics
guichet;der Schalter-;services publics
police;die Polizei-en;services publics
commissariat;das Revier-e;services publics
mairie;das Rathaus-″er;services publics
administration;das Amt-″er;services publics
collecte des ordures;die Abfuhr-en;services publics
bibliothèque (service/lieu);die Bibliothek-en;services publics
éducation;die Erziehung-en;éducation
remarque;die Anmerkung-en;éducation
définir;definieren;éducation
élever (éduquer);erziehen (og-og);éducation
s'exercer;üben;éducation
test, épeuvre, contrôle;die Prüfung-en;éducation
faire passer un test, épouvrer;prüfen;éducation
exercice;die Übung-en;éducation
formation (éducation);die Ausbildung-en zu;éducation
corriger (une erreur);korrigieren;éducation
apprendre;lernen;éducation
enseigner;lehren;éducation
enseignant;der Lehrer-, die Lehrerin-nen;éducation
garde d’enfant;die Kinderbetreuung-en;éducation
rater (exam);durch-fallen (bei/in+D) (ä-ie-a) (sein);éducation
réussir (exam);bestehen (and-and) (haben);éducation
école;die Schule-n;éducation
tableau (surface pour écrire);die Tafel-n;éducation
craie (pour écrire sur le tableau);die Kreide-n;éducation
université;die Universität-en;éducation
étudiant;der Student-en, die Studentin-nen;éducation
cours (ensemble d'heures);der Kurs-e;éducation
classe (groupe d'élèves);die Klasse-n;éducation
étudier;studieren;éducation
lycée, collège;das Gymnasium-/en;éducation
baccalauréat (équivalent);das Abitur-e;éducation
terminaison, en part. fin d’études;der Abschluss-″e;éducation
école professionnelle;die Berufsschule-n;éducation
prise en charge, soin;die Betreuung-en;éducation
éducateur;der Erzieher-, die Erzieherin-nen;éducation
école primaire, école élémentaire;die Grundschule-n;éducation
garderie, école maternelle;der Kindergarten-″;éducation
garderie, crèche;die Kita-s;éducation
note (d’examen);die Note-n;éducation
pause;die Pause-n;éducation
école secondaire;die Realschule-n;éducation
emploi du temps;der Stundenplan-″e;éducation
babysitter;der Tagesvater-″, die Tagesmutter-″;éducation
garderie, crèche;die Tagesstätte-n;éducation
leçon;der Unterricht-e;éducation
s’enroler;sich an-melden;éducation
être absent;fehlen;éducation
présent (présence);anwesend;éducation
attentif;aufmerksam;éducation
intelligent;schlau, intelligent;éducation
programme;das Programm-e;éducation
semestre;das Semester-;éducation
étude (le fait d'étudier, études supérieures);das Studium-/en;éducation
présenter, faire une présentation;präsentieren;éducation
solution (de problème);die Lösung-en;éducation
problème;das Problem-e;éducation
travail;die Arbeit-en;travail
occupé (avec des activités);beschäftigt;travail
être occupé (avec une tâche);sich beschäftigen (mit);travail
remplacer (quelqu'un au travail);vertreten (itt-a-e);travail
métier;der Beruf-e;travail
emploi, poste;die Arbeitsstelle-n;travail
participer;teil-nehmen (im-ah-om);travail
bureau;das Büro-s;travail
contrat;der Vertrag-″e;travail
faire, effectuer, fabriquer;machen;travail
faire;tun (a-a);travail
créer;schaffen (u-a);travail
contrat de travail;der Arbeitsvertrag-″e;travail
temps complet;die Vollzeit-en;travail
temps partiel;die Teilzeit-en;travail
à durée indéterminée, permanent;unbefristet;travail
à durée déterminée;befristet;travail
sans emploi;arbeitslos;travail
se préparer;sich vor-bereiten;travail
préparer;vor-bereiten;travail
prêt (adj.);bereit;travail
employeur;der Arbeitgeber-, die Arbeitgeberin-nen;travail
employé, travailleur;der Arbeitnehmer-, die Arbeitnehmerin-nen;travail
employé, agent;der Angestellter--, die Angestellte--;travail
tâche (de travail);die Aufgabe-n;travail
postuler;sich bewerben (bei, für) (i-a-o);travail
application (emploi);die Bewerbung-en;travail
entreprise;das Unternehmen;travail
patron;der Chef-s, die Chefin-nen;travail
service (restaurant...);die Bedienung-en;travail
expérience (professionnelle);die Erfahrung-en;travail
firme;die Firma-/en;travail
salaire;der Gehalt-e;travail
commerce (entreprise commerciale);das Geschäft-e;travail
interview;das Vorstellungsgespräch-e;travail
job;der Job-s;travail
stage (de fin d'étude);das Praktikum-/a;travail
client;der Kunde-n, die Kundin-nen;travail
indépendant (emploi), autonome;selbstständig;travail
hopital;das Krankenhaus-″er;travail
industrie;die Industrie-n;travail
agriculture;die Landwirtschaft-en;travail
ordinateur;der Computer;travail
écran (de TV, d'ordinateur);der Bildschirm-e;travail
clavier;die Tastatur-en;travail
touche de clavier;die Taste-n;travail
cahier;das Heft-e;travail
travail à domicile;die Telearbeit-en;travail
mine;die Grube-n;travail
réunion;die Besprechung-en;travail
site de production, entreprise;der Betrieb-e;travail
fonctionnement, opération;der Betrieb-e;travail
fin de journée (congé, fin de travail);der Feierabend-e;travail
formation continue;die Fortbildung-en;travail
syndicat (organisation);die Gewerkschaft-en;travail
produire;erzeugen;travail
ingénieur;der Ingenieur-e, die Ingenieurin-nen;travail
collègue;der Kollege-n, die Kollegin-nen;travail
prestation, performance;die Leistung-en;travail
employé, collaborateur;der Mitarbeiter-, die Mitarbeiterin-nen;travail
département des ressources humaines;die Personalabteilung-en;travail
qualification;die Qualifikation-en;travail
retraite (travail);die Rente-n;travail
poste, durée de travail accomplie;die Schicht-en;travail
poste de travail;die Stelle-n;travail
heure supplémentaire;die Überstunde-n;travail
supérieur hiérarchique;der Vorgesetzter--, die Vorgesetzte--;travail
éditer, travailler sur quelquechose;bearbeiten;travail
employer, embaucher;ein-stellen;travail
virer, renvoyer;entlassen (ä-ie-a);travail
faire un petit boulot, travailler;jobben;travail
mettre en congé maladie (note écrite par le dr);krank-schreiben (ie-ie);travail
se déclarer en congé maladie;sich krank-melden;travail
gagner de l’argent (en travaillant), mériter (tr.);verdienen;travail
employé, actif, ayant un travail;berufstätig;travail
spécialiste, expert;der Fachmann-″er, die Fachfrau-en, (pl.) Fachleute;travail
carrière (professionnelle);die Karriere-n;travail
projet;das Projekt-s;travail
industrieux;fleißig;travail
soigneux, minutieux;sorgfällig;travail
paraisseux;faul;travail
vacance;der Urlaub-e;temps libre
temps libre;die Freizeit-en;temps libre
intérêt;das Interesse-n an+D;temps libre
faire du sport;Sport treiben (ie-ie);temps libre
sport;der Sport-e;temps libre
yoga;das Yoga;temps libre
radio;das Radio-s;temps libre
télé;der Fernseher-;temps libre
regarder la télé;fern-sehen (ie-a-e);temps libre
lecture;die Lektüre-n;temps libre
jouet;das Spielzeug-e;temps libre
tricher (jeu);schummeln;temps libre
amusement, divertissement;die Unterhaltung-en;temps libre
excursion;der Ausflug-″e;temps libre
jeu de société;das Brettspiel-e;temps libre
livre;das Buch-″er;temps libre
jeu vidéo;das Computerspiel-e;temps libre
vélo;das Fahrrad-″er;temps libre
nager;schwimmen (a-o);temps libre
piscine (extérieur);das Freibad-″er;temps libre
piscine (intérieur);das Schwimmbad-″er;temps libre
FKK;die Freikörperkultur-en;temps libre
football;der Fußball-″e;temps libre
guitare;die Gitarre-n;temps libre
violon;die Geige-n;temps libre
handball;der Handball-″e;temps libre
intrument de musique;das Instrument-s;temps libre
carte (à jouer);die Spielkarte-n;temps libre
cinéma;das Kino-s;temps libre
lire;lesen (ie-a-e);temps libre
entrée, admission (exposition, concert...);der Eintritt-e;temps libre
musique;die Musik-en;temps libre
piano;das Piano-s;temps libre
aller se promener;spazieren gehen;temps libre
promenade;der Spaziergang-″e;temps libre
jouer;spielen;temps libre
streaming;das Streaming-s;temps libre
tennis;das Tennis;temps libre
dé;der Würfel-;temps libre
congés et jours fériés, vacances (temps);(pl.) Ferien;temps libre
fête;das Fest-e;temps libre
fêter;feiern;temps libre
temps;die Zeit-en;concepts temporels
constant;stetig;concepts temporels
à chaque fois;jeweils;concepts temporels
en même temps, simultané (adj.);gleichzeitig;raisonnement, opinion
ultérieur, à postériori;nachträglich;concepts temporels
entre temps, depuis lors;inzwischen;concepts temporels
fois (point dans le temps);das Mal-e;concepts temporels
aujourd'hui;heute;concepts temporels
avant-hier;vorgestern;concepts temporels
régulier (dans le temps);regelmäßig;concepts temporels
ponctuel;pünktlich;concepts temporels
immédiatement;sofort;concepts temporels
abrupt, soudain;plötzlich;concepts temporels
d'aujourd'hui (=maintenant, ce jour);heutig;concepts temporels
actuel (d'aujourd'hui);heutig;concepts temporels
de l'époque;damalig;concepts temporels
d'avance;im Voraus;concepts temporels
finalement;schließlich;concepts temporels
calendrier (système);der Kalender-;concepts temporels
calendrier (document);der Kalender-;concepts temporels
heure (durée);die Stunde-n;concepts temporels
heure (horloge);die Uhr-en;concepts temporels
seconde;die Sekunde-n;concepts temporels
évènement;das Ereignis-se;concepts temporels
suivant, prochain;nächst;concepts temporels
minute;die Minute-n;concepts temporels
jour;der Tag-e;concepts temporels
semaine;die Woche-n;concepts temporels
mois;der Monat-e;concepts temporels
année;das Jahr-e;concepts temporels
jour de la semaine;der Wochentag-e;concepts temporels
lundi;der Montag-e;concepts temporels
mardi;der Dienstag-e;concepts temporels
mercredi;der Mittwoch-e;concepts temporels
jeudi;der Donnerstag-e;concepts temporels
vendredi;der Freitag-e;concepts temporels
samedi;der Samstag-e;concepts temporels
dimanche;der Sonntag-e;concepts temporels
soir;der Abend-e;concepts temporels
matin;der Morgen-;concepts temporels
démarrer (processus de commencement);starten;concepts temporels
commencer;beginnen (a-o), an-fangen (ä-i-a);concepts temporels
s’arrêter;enden;concepts temporels
passer du temps;verbringen (ach-ach);concepts temporels
midi;der Mittag-e;concepts temporels
après-midi;der Nachmittag-e;concepts temporels
fin de semaine;das Wochenende-n;concepts temporels
demain;morgen;concepts temporels
hier;gestern;concepts temporels
après demain;übermorgen;concepts temporels
nuit;die Nacht-″er;concepts temporels
janvier;der Januar-e;concepts temporels
février;der Februar-e;concepts temporels
mars;der März-e;concepts temporels
avril;der April-e;concepts temporels
mai;der Mai-e;concepts temporels
juin;der Juni-s;concepts temporels
juillet;der Juli-s;concepts temporels
aout;der August-e;concepts temporels
septembre;der September-;concepts temporels
octobre;der Oktober-;concepts temporels
novembre;der November-;concepts temporels
décembre;der Dezember-;concepts temporels
printemps;der Frühling-e;concepts temporels
automne;der Herbst-e;concepts temporels
durer;dauern;concepts temporels
intervalle de temps;der Zeitraum-″e;concepts temporels
saison;die Jahreszeit-en;concepts temporels
hivers;der Winter-;concepts temporels
été;der Sommer-;concepts temporels
délai, terme;die Frist-en;concepts temporels
passé (temps);die Vergangenheit-en;concepts temporels
futur (temps);die Zukunft-″e;concepts temporels
présent (temps);die Gegenwart;concepts temporels
éternel;ewig;concepts temporels
éternité;die Ewigkeit-en;concepts temporels
temporaire;zeitweilig;concepts temporels
à nouveau;wieder;concepts temporels
permanent;ständig;concepts temporels
constamment;stets;concepts temporels
avoir lieu (de façon organisée);statt-finden (a-u);concepts temporels
se passer, avoir lieu;geschehen (ie-a-e), sich ereignen;concepts temporels
arriver, survenir, se produire (inattendu);vor-kommen (a-o);concepts temporels
se passer (quelquechose d'involontaire ou de déplaisant, etc.);passieren;concepts temporels
actuel;aktuell;concepts temporels
dernier;letzt;concepts temporels
ancien, précédent;ehemalig;concepts temporels
reporter (à plus tard);verschieben (o-o);concepts temporels
avoir le temps;Zeit haben;concepts temporels
unité de mesure;die Einheit-en, das Maß-e;mesures
mesure (processus);die Vermessung-en;mesures
mètre;der Meter-;mesures
longueur mesurée;die Länge-n;mesures
température;die Temperatur-en;mesures
degré (centigrade);der Grad-e;mesures
thermomètre;das Thermometer-;mesures
poid;das Gewicht-e;mesures
peser;wiegen (o-o);mesures
centimètre;das/der Zentimeter-;mesures
mètre carré;das/der Quadratmeter-;mesures
moins (degré négatif);minus;mesures
plus (addition);plus;mesures
pour cent;das Prozent-e;mesures
litre;der Liter-;mesures
gramme;das Gramm-e;mesures
kilogramme;das Kilogramm-e;mesures
pays;das Land-″er;géographie
carte (géo);die Karte-n, die Landkarte-n;géographie
mer;das Meer-e;géographie
lac;der See-n;géographie
étang, mare;der Teich-e;géographie
océan;der Ozean-e;géographie
frontière;die Grenze-n;géographie
continent;der Kontinent-e;géographie
rive, bord;das Ufer-;géographie
région;das Gebiet-e;géographie
Europe;das Europa;géographie
Asie;das Asien;géographie
île;die Insel-n;géographie
Afrique;das Afrika;géographie
Océanie;das Ozeanien;géographie
Amérique;das Amerika-;géographie
Amérique du Nord;das Nordamerika;géographie
Amérique du Sud;das Südamerika;géographie
européen;europäisch;géographie
Nord;der Nord;géographie
Sud;der Süd;géographie
Est;der Ost;géographie
Ouest;der West;géographie
côte (littoral);die Küste-n;géographie
couleur;die Farbe-n;couleurs
blanc;weiß;couleurs
monochromatique;monochromatisch;couleurs
noir;schwarz;couleurs
voilet;lila;couleurs
pâle;blass;couleurs
rose (couleur);rosa;couleurs
rouge;rot;couleurs
orange (adj.);orange;couleurs
jaune;gelb;couleurs
vert;grün;couleurs
cyan (nom);das Cyan;couleurs
bleu;blau;couleurs
transparent;durchsichtig;couleurs
gris;grau;couleurs
brun;braun;couleurs
sombre;dunkel;couleurs
clair;hell;couleurs
personne;die Person-en;personnes, famille
gens;(pl.) Leute;personnes, famille
seul;allein;personnes, famille
personne, humain;der Mensch-en;personnes, famille
ensemble;zusammen;personnes, famille
jumeau;der Zwilling-e;personnes, famille
enfant;das Kind-er;personnes, famille
adulte;der Erwachsener--, die Erwachsenere--;personnes, famille
vieux;alt;personnes, famille
jeune;jung;personnes, famille
type, mec;der Kerl-e;personnes, famille
femme;die Frau-en;personnes, famille
s'occuper, prendre soin;sich kümmern (um), sorgen (für);personnes, famille
homme;der Mann-″er;personnes, famille
garçon;der Junge-n;personnes, famille
fille (jeune personne du sexe féminin);das Mädchen-;personnes, famille
enfance;die Kindheit-en;personnes, famille
durant mon enfance;in meiner Kindheit;personnes, famille
famille;die Familie-n;personnes, famille
bébé;das Baby-s;personnes, famille
frère;der Bruder-″;personnes, famille
cousin;der Cousin-s;personnes, famille
cousine;die Cousine-n;personnes, famille
épouse;die Ehefrau-en, die Gattin-nen;personnes, famille
époux;der Ehemann-″er, der Gatte-n;personnes, famille
parents;(pl.) Eltern;personnes, famille
élever (enfants);erziehen;personnes, famille
petit-fils;der Enkel-;personnes, famille
petite-fille;die Enkelin-nen;personnes, famille
fils;der Sohn-″e;personnes, famille
fille (descendante directe);die Tochter-″;personnes, famille
hériter;erben;personnes, famille
frère ou soeur;das Geschwister-;personnes, famille
séparé (mariage);getrennt;personnes, famille
mariage;die Ehe-n;personnes, famille
célibataire;ledig;personnes, famille
dans une relation (en couple);in einer Beziegung;personnes, famille
mère;die Mutter-″;personnes, famille
grand-mère;die Oma-s;personnes, famille
grand-père;der Opa-s;personnes, famille
enceinte;schwanger;personnes, famille
soeur;die Schwester-n;personnes, famille
tante;die Tante-n;personnes, famille
père;der Vater-″;personnes, famille
oncle;der Onkel-;personnes, famille
se marier;verheiraten;personnes, famille
marié;verheiratet (mit);personnes, famille
parent, apparenté;der Verwandter, die Verwandte;personnes, famille
allergie;die Allergie-n;santé
cellule;die Zelle-n;santé
assurance maladie;die Krankenversicherung-en;santé
virus;das Virus-/en;santé
circulation (sanguine);der Kreislauf;santé
faible;schwach;santé
bactérie;die Bakterie-n;santé
toucher, affecter;betreffen (+A) (i-a-o);santé
pharmacie;die Apotheke-n;santé
se reposer;sich aus-ruhen;santé
pharmacien;der Apother-, die Apothekerin-nen;santé
docteur (méd.);der Arzt-″e, die Ärztin-nen;santé
respirer;atmen;santé
sang;das Blut-e;santé
saigner;bluten;santé
attraper (maladie);ein-fangen (ä-i-a);santé
rhume;die Erkältung-en;santé
urgence (méd.);der Notfall-″e;santé
pansement;das Heftpflaster-, das Pflaster-;santé
soins (care);die Pflege;santé
traiter (soigner);behandeln;santé
traitement;die Behandlung-en;santé
médicamment;das Medikament-e;santé
poul;der Puls-e;santé
fumer;rauchen;santé
désinfecter;desinfizieren;santé
douleur;der Schmerz-en;santé
faire mal;schmerzen, weh tun (a-a);santé
accident;der Unfall-″e;santé
bandage;der Verband-″e;santé
blessé;verletzt;santé
blessure;die Wunde-n;santé
dentiste;der Zahnarzt-″e, die Zahnärztin-nen;santé
alimentation;die Ernährung-en;santé
grippe;die Grippe-n;santé
toux;der Husten-;santé
certificat de maladie;der Krankenschein-e;santé
infirmier;der Krankenpfleger-, die Krankenpflegerin-nen;santé
médecine;die Medizin-en;santé
appel d’urgence (112);der Notruf-e;santé
notice (de médicament);die Packungsbeilage-n;santé
patient (de docteur);der Patient-en, die Patientin-nen;santé
cabinet de médecin;die Praxis-/en;santé
prescription;das Rezept-e;santé
pommade;die Salbe-n;santé
faim;der Hunger;santé
rassasié;satt;santé
soif;der Durst;santé
avoir faim;Hunger haben;santé
avoir soif;Durst haben;santé
rhume;der Schnupfen-;santé
examen (médical);die Untersuchung-en;santé
perdre du poids;ab-nehmen (im-ah-om);santé
prendre un médicament;ein-nehmen (im-ah-om);santé
guérir;heilen;santé
tousser;husten;santé
opérer (méd.);operieren;santé
soigner, prendre soin;pflegen;santé
examiner (méd.);untersuchen;santé
prescrire (méd.);verschreiben (ie-ie);santé
prendre du poid;zu-nehmen (im-ah-om);santé
sain, en forme;gesund;santé
santé;die Gesundheit;santé
canne;der Stock-″e;santé
dormir;schlafen (ä-ie-a);santé
s'endormir;ein-schlafen (ä-ie-a) (sein);santé
réveiller (tr.);wecken, auf-wecken;santé
se réveiller;auf-wachen;santé
éveillé;wach;santé
bruit (nuisance);der Lärm;santé
malade;krank;santé
vacciner;imfpen;santé
maladie;die Krankheit-en;santé
comprimé, caché;die Tablette-n;santé
diarrhée;der Durchfall-″e;santé
vomir;(sich) erbrechen (i-a-o);santé
cheveu, poil;das Haar-e;corps
uriner;urinieren;corps
boucle de cheveux;die Locke-n;corps
esprit;der Geist-er;corps
cheveu (coiffe);das Haar-e;corps
long (cheveux);lang;corps
court (cheveux);kurz;corps
mordre;beißen (i-i);corps
blond;blond;corps
brun, noir (couleur de cheveux);dunkel;corps
brun (couleur de cheveux);braun;corps
jambe;das Bein-e;corps
cou;der Hals-″e;corps
doigt;der Finger-;corps
pied;der Fuß-″e;corps
hanche;die Hüfte-n;corps
membre (partie du corps);das Glied-er;corps
tête;der Kopf-″e;corps
mince (adj.);schlank;corps
orteil;der Zeh-en;corps
visage;das Gesicht-er;corps
ongle;der Nagel-″;corps
main;die Hand-″e;corps
pouce;der Daumen-;corps
poing;die Faust-″e;corps
oreille;das Ohr-en;corps
bouche;der Mund-″er;corps
dent;der Zahn-″e;corps
langue (bouche);die Zunge-n;corps
nez;die Nase-n;corps
narine;das Nasenloch-″er;corps
joue;die Wange-n;corps
lèvre;die Lippe-n;corps
oeil;das Auge-n;corps
sourcil;die Augenbraue-n;corps
cil;die Wimper-n;corps
tempe;die Schläfe-n;corps
machoîre;der Kiefer-;corps
front (visage);die Stirn-en;corps
menton;das Kinn-e;corps
frange;die Franse-n;corps
poignet;das Handgelenk-e;corps
cheville;der Enkel-;corps
genou;das Knie-e;corps
coude;der Ellbogen-;corps
ventre;der Bauch-″e;corps
estomac;der Magen-″;corps
dos;der Rücken-;corps
poitrine;die Brust-″e;corps
nuque;der Nacken-;corps
épaule;die Schulter-n;corps
coeur;das Herz-en;corps
foie;die Leber-n;corps
intestin;der Darm-″e;corps
poumon;die Lunge-n;corps
rein;die Niere-n;corps
gorge;die Kehle-n;corps
